periodo,unidad_id,area_id,horas_plan,horas_real,participantes,dc3_requeridos,dc3_emitidos,inversion_mxn,competencias_criticas_req,competencias_criticas_ok
2025-08,U01,A04,486.2,500.7,84,56,52,133867.0,29,26
2025-08,U01,A05,57.8,57.0,15,10,9,21753.0,2,1
2025-08,U01,A06,83.3,89.9,22,14,13,24181.0,3,2
2025-08,U02,A02,1024.4,1068.8,177,118,116,378251.0,63,62
2025-08,U02,A03,442.0,458.2,76,51,50,120904.0,27,26
2025-08,U02,A04,455.0,503.2,78,52,50,196382.0,28,27
2025-08,U02,A05,51.0,53.8,13,9,8,14639.0,2,1
2025-08,U02,A06,71.4,67.1,18,12,11,20211.0,2,1
2025-08,U03,A02,1203.8,1321.2,208,138,135,467226.0,74,71
2025-08,U03,A03,543.4,586.7,94,62,60,180163.0,33,31
2025-08,U03,A04,577.2,617.4,99,66,62,162875.0,35,33
2025-08,U03,A05,64.6,68.1,17,11,10,19308.0,2,1
2025-08,U03,A06,91.8,102.2,24,16,15,39616.0,3,2
2025-08,U04,A03,790.4,817.7,136,91,90,325579.0,48,47
2025-08,U04,A04,351.0,355.9,60,40,39,112906.0,21,20
2025-08,U04,A05,37.4,37.2,9,6,5,14815.0,2,1
2025-08,U04,A06,57.8,64.7,15,10,9,17685.0,2,1
2025-08,U05,A05,20.4,19.2,5,3,2,4920.0,2,1
2025-08,U05,A06,166.6,178.2,44,29,28,69041.0,6,5
2025-09,U01,A01,1144.0,1218.4,198,132,125,509868.0,70,64
2025-09,U01,A03,403.0,370.2,69,46,43,125698.0,24,22
2025-09,U01,A04,496.6,534.6,85,57,53,181985.0,30,28
2025-09,U01,A05,57.8,55.3,15,10,9,19639.0,2,1
2025-09,U01,A06,83.3,78.1,22,14,13,30450.0,3,2
2025-09,U02,A02,1027.0,1017.3,177,118,117,268516.0,63,60
2025-09,U02,A03,447.2,482.6,77,51,49,138126.0,27,26
2025-09,U02,A04,470.6,433.1,81,54,53,112577.0,28,26
2025-09,U02,A05,51.0,56.1,13,9,8,18072.0,2,1
2025-09,U02,A06,71.4,74.8,18,12,11,27689.0,2,1
2025-09,U03,A02,1206.4,1246.6,208,139,134,370549.0,74,71
2025-09,U03,A03,548.6,614.3,94,63,60,226981.0,33,31
2025-09,U03,A04,566.8,553.4,98,65,61,216157.0,34,32
2025-09,U03,A05,66.3,72.7,17,11,10,25428.0,2,1
2025-09,U03,A06,90.1,90.8,23,15,14,33085.0,3,2
2025-09,U04,A03,816.4,789.8,141,94,93,274990.0,50,49
2025-09,U04,A04,343.2,320.5,59,39,38,121962.0,21,20
2025-09,U04,A05,37.4,39.2,9,6,5,14513.0,2,1
2025-09,U04,A06,56.1,62.4,14,9,8,22947.0,2,1
2025-09,U05,A05,20.4,22.4,5,3,2,7210.0,2,1
2025-09,U05,A06,170.0,173.1,45,30,29,61965.0,7,6
2025-10,U01,A01,1172.6,1165.2,202,135,127,412485.0,72,65
2025-10,U01,A03,418.6,419.4,72,48,45,124749.0,25,23
2025-10,U01,A04,499.2,483.5,86,57,54,137932.0,30,27
2025-10,U01,A05,61.2,53.2,16,10,9,18246.0,2,1
2025-10,U01,A06,83.3,80.1,22,14,13,29686.0,3,2
2025-10,U02,A02,1008.8,973.1,174,116,113,357649.0,62,61
2025-10,U02,A03,436.8,464.6,75,50,49,183395.0,26,25
2025-10,U02,A04,465.4,460.0,80,53,52,151588.0,28,27
2025-10,U02,A05,54.4,54.3,14,9,8,14892.0,2,1
2025-10,U02,A06,71.4,66.1,18,12,11,27487.0,2,1
2025-10,U03,A02,1255.8,1231.4,217,144,140,484273.0,77,73
2025-10,U03,A03,548.6,574.0,94,63,59,238292.0,33,31
2025-10,U03,A04,564.2,501.3,97,65,61,202023.0,34,31
2025-10,U03,A05,64.6,68.5,17,11,10,28053.0,2,1
2025-10,U03,A06,91.8,84.9,24,16,15,22597.0,3,2
2025-10,U04,A03,808.6,805.5,139,93,92,246935.0,49,48
2025-10,U04,A04,348.4,330.2,60,40,39,127712.0,21,20
2025-10,U04,A05,37.4,41.4,9,6,5,13507.0,2,1
2025-10,U04,A06,59.5,58.2,15,10,9,19526.0,2,1
2025-10,U05,A05,20.4,22.4,5,3,2,9149.0,2,1
2025-10,U05,A06,171.7,163.1,45,30,29,63400.0,7,6
2025-11,U01,A01,1151.8,1025.5,199,132,125,343254.0,70,64
2025-11,U01,A03,410.8,345.7,71,47,45,116448.0,25,23
2025-11,U01,A04,491.4,493.5,85,56,53,143495.0,30,27
2025-11,U01,A05,59.5,54.6,15,10,9,21901.0,2,1
2025-11,U01,A06,83.3,76.3,22,14,13,20169.0,3,2
2025-11,U02,A02,1058.2,1068.9,183,122,121,430509.0,65,62
2025-11,U02,A03,457.6,419.2,79,52,50,136913.0,28,26
2025-11,U02,A04,465.4,476.6,80,53,52,123865.0,28,27
2025-11,U02,A05,52.7,52.5,13,9,8,18711.0,2,1
2025-11,U02,A06,71.4,70.6,18,12,11,19818.0,2,1
2025-11,U03,A02,1227.2,1200.5,212,141,135,376696.0,75,72
2025-11,U03,A03,543.4,487.5,94,62,60,198158.0,33,31
2025-11,U03,A04,590.2,547.6,102,68,65,215356.0,36,33
2025-11,U03,A05,68.0,63.9,18,12,11,20073.0,2,1
2025-11,U03,A06,91.8,79.5,24,16,15,22608.0,3,2
2025-11,U04,A03,819.0,850.6,141,94,93,319757.0,50,49
2025-11,U04,A04,345.8,350.4,59,39,38,98396.0,21,20
2025-11,U04,A05,37.4,38.5,9,6,5,12208.0,2,1
2025-11,U04,A06,59.5,59.4,15,10,9,15559.0,2,1
2025-11,U05,A05,20.4,20.9,5,3,2,7862.0,2,1
2025-11,U05,A06,173.4,161.5,45,30,29,64841.0,7,6
2025-12,U01,A01,1131.0,978.7,195,130,124,381113.0,69,65
2025-12,U01,A03,413.4,345.0,71,47,44,136413.0,25,22
2025-12,U01,A04,494.0,423.0,85,57,54,154052.0,30,28
2025-12,U01,A05,61.2,49.4,16,10,9,14447.0,2,1
2025-12,U01,A06,86.7,70.3,22,15,14,27145.0,3,2
2025-12,U02,A02,1045.2,947.5,180,120,119,336151.0,64,61
2025-12,U02,A03,442.0,396.4,76,51,50,160371.0,27,25
2025-12,U02,A04,462.8,401.3,80,53,52,107751.0,28,27
2025-12,U02,A05,52.7,44.6,13,9,8,17307.0,2,1
2025-12,U02,A06,73.1,62.8,19,12,11,23344.0,3,2
2025-12,U03,A02,1271.4,1044.7,220,146,138,342604.0,78,72
2025-12,U03,A03,553.8,468.6,95,63,59,136105.0,34,32
2025-12,U03,A04,559.0,504.7,96,64,61,176358.0,34,32
2025-12,U03,A05,66.3,55.9,17,11,10,16194.0,2,1
2025-12,U03,A06,93.5,81.1,24,16,15,21662.0,3,2
2025-12,U04,A03,787.8,770.1,136,90,89,218314.0,48,47
2025-12,U04,A04,353.6,303.2,61,40,39,126674.0,21,20
2025-12,U04,A05,37.4,37.0,9,6,5,10879.0,2,1
2025-12,U04,A06,57.8,54.5,15,10,9,16865.0,2,1
2025-12,U05,A05,20.4,18.3,5,3,2,7273.0,2,1
2025-12,U05,A06,173.4,173.5,45,30,29,68428.0,7,6
2026-01,U01,A01,1128.4,983.1,195,130,123,256468.0,69,64
2026-01,U01,A03,405.6,338.9,70,46,43,131909.0,24,22
2026-01,U01,A04,494.0,414.3,85,57,54,136301.0,30,27
2026-01,U01,A05,59.5,51.9,15,10,9,21381.0,2,1
2026-01,U01,A06,83.3,67.4,22,14,13,24077.0,3,2
2026-01,U02,A02,1066.0,942.0,184,123,122,363563.0,65,64
2026-01,U02,A03,460.2,377.8,79,53,52,151552.0,28,27
2026-01,U02,A04,452.4,373.8,78,52,51,101169.0,27,25
2026-01,U02,A05,54.4,47.4,14,9,8,19029.0,2,1
2026-01,U02,A06,71.4,60.4,18,12,11,16705.0,2,1
2026-01,U03,A02,1229.8,993.2,212,141,137,388080.0,75,71
2026-01,U03,A03,572.0,475.9,99,66,64,144170.0,35,33
2026-01,U03,A04,587.6,494.8,101,67,64,127607.0,36,34
2026-01,U03,A05,66.3,63.1,17,11,10,24022.0,2,1
2026-01,U03,A06,95.2,84.5,25,16,15,33849.0,3,2
2026-01,U04,A03,787.8,793.9,136,90,89,256002.0,48,47
2026-01,U04,A04,353.6,315.9,61,40,39,84754.0,21,20
2026-01,U04,A05,37.4,35.1,9,6,5,10470.0,2,1
2026-01,U04,A06,57.8,57.1,15,10,9,22551.0,2,1
2026-01,U05,A05,20.4,18.9,5,3,2,5109.0,2,1
2026-01,U05,A06,173.4,171.0,45,30,29,59381.0,7,6
2026-02,U01,A01,1110.2,972.4,192,128,123,367878.0,68,62
2026-02,U01,A03,410.8,372.8,71,47,44,129711.0,25,23
2026-02,U01,A04,491.4,420.4,85,56,53,172675.0,30,27
2026-02,U01,A05,61.2,52.0,16,10,9,20106.0,2,1
2026-02,U01,A06,83.3,68.9,22,14,13,17597.0,3,2
2026-02,U02,A02,1032.2,860.5,178,119,118,271241.0,63,62
2026-02,U02,A03,449.8,417.6,77,51,50,158322.0,27,26
2026-02,U02,A04,449.8,441.6,77,51,50,133039.0,27,26
2026-02,U02,A05,52.7,47.5,13,9,8,13883.0,2,1
2026-02,U02,A06,73.1,61.1,19,12,11,23389.0,3,2
2026-02,U03,A02,1268.8,1158.8,219,146,138,378958.0,78,73
2026-02,U03,A03,564.2,523.9,97,65,63,194432.0,34,32
2026-02,U03,A04,561.6,492.9,97,64,60,135018.0,34,31
2026-02,U03,A05,66.3,59.0,17,11,10,20081.0,2,1
2026-02,U03,A06,91.8,76.3,24,16,15,22016.0,3,2
2026-02,U04,A03,785.2,682.1,135,90,89,253093.0,48,47
2026-02,U04,A04,348.4,311.7,60,40,39,126717.0,21,20
2026-02,U04,A05,39.1,34.8,10,6,5,12431.0,2,1
2026-02,U04,A06,57.8,52.4,15,10,9,14307.0,2,1
2026-02,U05,A05,20.4,19.9,5,3,2,8342.0,2,1
2026-02,U05,A06,166.6,144.7,44,29,28,53618.0,6,5
2026-03,U01,A01,1131.0,982.0,195,130,121,363021.0,69,65
2026-03,U01,A03,395.2,384.0,68,45,41,154200.0,24,22
2026-03,U01,A04,509.6,423.0,88,58,54,132285.0,31,29
2026-03,U01,A05,57.8,48.0,15,10,9,17688.0,2,1
2026-03,U01,A06,86.7,84.1,22,15,14,32330.0,3,2
