periodo,unidad_id,area_id,altas,bajas_voluntarias,bajas_involuntarias,bajas_menos_90_dias,vacantes_abiertas,dias_cobertura_prom
2024-12,U04,A05,0,0,0,0,0,25.1
2024-12,U04,A06,0,0,0,0,0,22.5
2024-12,U05,A05,0,0,0,0,0,21.8
2024-12,U05,A06,0,0,1,0,2,23.0
2025-01,U01,A01,4,3,2,0,14,31.4
2025-01,U01,A03,1,1,1,0,8,36.3
2025-01,U01,A04,3,2,1,0,7,34.4
2025-01,U01,A05,0,0,0,0,1,24.6
2025-01,U01,A06,1,0,1,0,0,21.5
2025-01,U02,A02,2,2,1,0,8,33.1
2025-01,U02,A03,0,0,1,0,2,31.3
2025-01,U02,A04,0,0,1,0,8,30.6
2025-01,U02,A05,0,0,0,0,0,26.5
2025-01,U02,A06,0,0,0,0,0,25.1
2025-01,U03,A02,5,3,2,0,13,33.7
2025-01,U03,A03,3,1,2,0,7,36.0
2025-01,U03,A04,3,2,1,0,7,36.7
2025-01,U03,A05,0,0,1,0,1,25.7
2025-01,U03,A06,0,0,1,0,1,25.2
2025-01,U04,A03,2,1,1,0,8,34.2
2025-01,U04,A04,1,0,1,0,4,31.1
2025-01,U04,A05,0,0,0,0,0,25.3
2025-01,U04,A06,0,0,0,0,1,26.3
2025-01,U05,A05,0,0,0,0,0,24.2
2025-01,U05,A06,1,0,1,0,4,24.2
2025-02,U01,A01,3,3,2,0,6,35.7
2025-02,U01,A03,1,0,1,0,5,29.6
2025-02,U01,A04,1,1,1,0,3,35.2
2025-02,U01,A05,0,0,0,0,0,23.0
2025-02,U01,A06,1,0,1,0,1,24.1
2025-02,U02,A02,3,2,1,0,8,32.3
2025-02,U02,A03,0,0,1,0,3,30.1
2025-02,U02,A04,1,0,1,0,3,35.3
2025-02,U02,A05,0,0,0,0,1,24.2
2025-02,U02,A06,0,0,0,0,1,25.4
2025-02,U03,A02,6,3,2,0,16,36.2
2025-02,U03,A03,1,1,1,0,3,30.0
2025-02,U03,A04,3,2,1,0,5,34.4
2025-02,U03,A05,0,0,0,0,1,25.3
2025-02,U03,A06,1,0,1,0,2,23.8
2025-02,U04,A03,1,1,1,0,4,34.9
2025-02,U04,A04,1,0,1,0,1,36.4
2025-02,U04,A05,0,0,0,0,0,25.7
2025-02,U04,A06,0,0,0,0,0,25.6
2025-02,U05,A05,0,0,0,0,0,24.7
2025-02,U05,A06,1,0,1,0,1,24.6
2025-03,U01,A01,6,3,2,0,11,34.2
2025-03,U01,A03,2,1,1,0,5,34.9
2025-03,U01,A04,2,1,1,0,5,32.1
2025-03,U01,A05,0,0,0,0,1,21.2
2025-03,U01,A06,0,0,0,0,1,24.9
2025-03,U02,A02,2,1,1,0,14,32.5
2025-03,U02,A03,1,0,1,0,3,35.9
2025-03,U02,A04,1,0,1,0,4,36.3
2025-03,U02,A05,0,0,0,0,1,21.4
2025-03,U02,A06,0,0,0,0,0,23.9
2025-03,U03,A02,5,3,2,1,23,36.5
2025-03,U03,A03,3,2,1,0,10,32.0
2025-03,U03,A04,3,2,1,0,9,32.2
2025-03,U03,A05,0,0,0,0,0,23.8
2025-03,U03,A06,0,0,0,0,2,21.5
2025-03,U04,A03,2,1,1,0,6,35.8
2025-03,U04,A04,0,0,1,0,2,30.1
2025-03,U04,A05,0,0,0,0,0,21.5
2025-03,U04,A06,0,0,0,0,0,21.9
2025-03,U05,A05,0,0,0,0,0,25.5
2025-03,U05,A06,0,0,1,0,1,21.4
2025-04,U01,A01,4,3,2,1,18,33.2
2025-04,U01,A03,2,1,1,0,6,34.9
2025-04,U01,A04,2,1,1,0,9,36.3
2025-04,U01,A05,0,0,0,0,1,26.4
2025-04,U01,A06,0,0,0,0,1,21.9
2025-04,U02,A02,2,2,1,0,9,33.4
2025-04,U02,A03,1,0,1,0,5,34.4
2025-04,U02,A04,1,0,1,0,5,33.9
2025-04,U02,A05,0,0,0,0,0,24.4
2025-04,U02,A06,0,0,0,0,1,24.8
2025-04,U03,A02,5,3,2,0,17,33.5
2025-04,U03,A03,4,2,1,0,4,32.8
2025-04,U03,A04,2,2,1,0,7,30.4
2025-04,U03,A05,1,0,1,0,1,25.6
2025-04,U03,A06,1,0,1,0,2,26.6
2025-04,U04,A03,0,0,1,0,5,30.6
2025-04,U04,A04,1,0,1,0,4,32.7
2025-04,U04,A05,0,0,0,0,0,26.9
2025-04,U04,A06,0,0,0,0,0,22.6
2025-04,U05,A05,0,0,0,0,0,25.1
2025-04,U05,A06,0,0,1,0,2,26.2
2025-05,U01,A01,6,3,2,0,14,32.7
2025-05,U01,A03,2,1,1,0,7,37.0
2025-05,U01,A04,2,1,1,0,7,35.2
2025-05,U01,A05,0,0,0,0,1,25.9
2025-05,U01,A06,0,0,1,0,2,21.4
2025-05,U02,A02,3,2,1,0,11,31.2
2025-05,U02,A03,1,1,1,0,4,30.8
2025-05,U02,A04,0,0,1,0,8,33.7
2025-05,U02,A05,0,0,0,0,1,26.1
2025-05,U02,A06,0,0,0,0,0,23.4
2025-05,U03,A02,9,4,3,1,21,30.3
2025-05,U03,A03,2,1,1,0,6,35.3
2025-05,U03,A04,3,2,1,0,8,36.8
2025-05,U03,A05,0,0,0,0,1,22.5
2025-05,U03,A06,0,0,1,0,2,25.9
2025-05,U04,A03,2,1,1,0,10,32.4
2025-05,U04,A04,1,0,1,0,4,34.2
2025-05,U04,A05,0,0,0,0,0,22.8
2025-05,U04,A06,0,0,0,0,0,24.1
2025-05,U05,A05,0,0,0,0,0,22.7
2025-05,U05,A06,0,0,1,0,1,24.1
2025-06,U01,A01,6,3,2,0,23,30.9
2025-06,U01,A03,2,1,1,0,5,32.0
2025-06,U01,A04,2,2,1,0,5,34.4
2025-06,U01,A05,0,0,1,0,2,25.1
2025-06,U01,A06,1,0,1,0,1,26.4
2025-06,U02,A02,4,2,2,0,9,33.2
2025-06,U02,A03,2,1,1,0,6,32.1
2025-06,U02,A04,2,1,1,0,9,31.0
2025-06,U02,A05,0,0,0,0,0,22.5
2025-06,U02,A06,0,0,0,0,0,22.4
2025-06,U03,A02,7,4,2,0,11,36.8
2025-06,U03,A03,3,2,1,0,10,35.5
2025-06,U03,A04,4,3,1,1,6,31.1
2025-06,U03,A05,0,0,1,0,2,21.7
2025-06,U03,A06,1,0,1,0,2,25.1
2025-06,U04,A03,1,1,1,0,6,30.4
2025-06,U04,A04,0,0,1,0,5,31.7
2025-06,U04,A05,0,0,0,0,1,27.1
2025-06,U04,A06,0,0,0,0,0,24.4
2025-06,U05,A05,0,0,0,0,0,26.4
2025-06,U05,A06,0,0,1,0,3,24.9
2025-07,U01,A01,9,5,2,1,8,32.6
2025-07,U01,A03,2,1,2,0,2,32.1
2025-07,U01,A04,4,1,2,0,7,32.1
2025-07,U01,A05,0,0,1,0,1,21.6
2025-07,U01,A06,1,0,1,0,1,24.1
2025-07,U02,A02,4,2,2,0,9,30.5
2025-07,U02,A03,1,1,1,0,5,32.4
2025-07,U02,A04,1,1,1,0,4,32.8
2025-07,U02,A05,0,0,0,0,0,23.1
2025-07,U02,A06,0,0,0,0,0,24.0
2025-07,U03,A02,9,5,3,2,23,38.1
2025-07,U03,A03,3,2,2,0,3,38.2
2025-07,U03,A04,3,3,1,1,7,36.6
2025-07,U03,A05,0,0,1,0,2,22.9
2025-07,U03,A06,1,0,1,0,1,26.8
2025-07,U04,A03,2,2,1,0,12,36.8
2025-07,U04,A04,1,0,1,0,3,30.2
2025-07,U04,A05,0,0,0,0,0,26.6
2025-07,U04,A06,0,0,0,0,0,24.6
2025-07,U05,A05,0,0,0,0,0,24.1
2025-07,U05,A06,1,0,1,0,3,25.4
2025-08,U01,A01,6,5,2,1,18,31.5
2025-08,U01,A03,2,2,1,0,3,34.0
2025-08,U01,A04,4,2,1,0,8,31.6
2025-08,U01,A05,1,0,1,0,1,25.8
2025-08,U01,A06,1,0,1,0,1,25.3
2025-08,U02,A02,4,3,2,0,6,33.9
2025-08,U02,A03,2,1,1,0,3,30.4
2025-08,U02,A04,1,1,1,0,4,36.3
2025-08,U02,A05,0,0,0,0,0,27.6
2025-08,U02,A06,1,0,1,0,1,26.4
2025-08,U03,A02,6,6,2,2,15,36.9
2025-08,U03,A03,4,2,2,0,7,33.6
2025-08,U03,A04,3,2,2,0,2,31.6
2025-08,U03,A05,1,0,1,0,1,26.0
2025-08,U03,A06,0,0,1,0,1,27.0
2025-08,U04,A03,3,2,1,0,6,30.7
2025-08,U04,A04,1,0,1,0,2,34.7
2025-08,U04,A05,0,0,0,0,0,27.4
2025-08,U04,A06,0,0,0,0,0,27.3
2025-08,U05,A05,0,0,0,0,0,23.9
2025-08,U05,A06,0,0,1,0,2,27.5
2025-09,U01,A01,5,3,3,0,7,34.8
2025-09,U01,A03,3,2,1,0,4,38.6
2025-09,U01,A04,2,2,1,0,5,32.7
2025-09,U01,A05,0,0,1,0,1,27.3
2025-09,U01,A06,1,0,1,0,1,24.6
2025-09,U02,A02,5,3,2,0,7,38.2
2025-09,U02,A03,2,1,1,0,2,31.1
2025-09,U02,A04,3,2,1,0,1,31.1
2025-09,U02,A05,0,0,0,0,0,27.2
2025-09,U02,A06,0,0,0,0,0,22.4
2025-09,U03,A02,8,4,3,1,16,33.4
2025-09,U03,A03,3,2,2,0,6,31.6
2025-09,U03,A04,3,2,2,0,4,33.8
2025-09,U03,A05,1,0,1,0,1,23.0
2025-09,U03,A06,1,0,1,0,1,23.4
2025-09,U04,A03,3,2,1,0,0,34.3
2025-09,U04,A04,0,0,1,0,3,35.5
2025-09,U04,A05,0,0,0,0,0,27.6
2025-09,U04,A06,0,0,0,0,0,22.3
2025-09,U05,A05,0,0,0,0,0,26.1
2025-09,U05,A06,1,0,1,0,1,25.3
2025-10,U01,A01,9,6,3,2,2,38.6
2025-10,U01,A03,3,2,1,0,0,33.7
2025-10,U01,A04,3,2,1,0,4,33.9
2025-10,U01,A05,1,0,1,0,0,25.3
2025-10,U01,A06,1,0,1,0,1,27.6
2025-10,U02,A02,3,2,2,0,12,38.8
2025-10,U02,A03,2,1,1,0,5,31.6
2025-10,U02,A04,2,1,1,0,1,33.0
2025-10,U02,A05,0,0,0,0,0,22.6
2025-10,U02,A06,0,0,1,0,1,26.4
2025-10,U03,A02,8,5,3,1,5,33.4
2025-10,U03,A03,3,2,1,0,4,30.9
2025-10,U03,A04,6,3,2,1,5,31.9
2025-10,U03,A05,1,0,1,0,2,27.0
2025-10,U03,A06,1,0,1,0,1,25.5
2025-10,U04,A03,3,2,1,0,2,30.9
2025-10,U04,A04,1,0,1,0,2,33.7
2025-10,U04,A05,0,0,0,0,0,23.7
2025-10,U04,A06,0,0,0,0,0,26.8
2025-10,U05,A05,0,0,0,0,0,24.8
2025-10,U05,A06,1,0,1,0,0,23.3
2025-11,U01,A01,9,4,3,1,5,37.7
2025-11,U01,A03,1,1,1,0,1,35.2
2025-11,U01,A04,3,2,1,0,5,38.3
2025-11,U01,A05,0,0,1,0,1,26.4
2025-11,U01,A06,1,0,1,0,1,24.1
2025-11,U02,A02,4,3,2,1,0,34.6
2025-11,U02,A03,1,1,1,0,0,34.8
2025-11,U02,A04,2,1,1,0,1,39.1
2025-11,U02,A05,0,0,0,0,0,23.1
2025-11,U02,A06,0,0,0,0,0,26.3
2025-11,U03,A02,5,3,3,0,11,32.9
2025-11,U03,A03,3,2,2,0,8,37.9
2025-11,U03,A04,2,2,1,0,0,32.5
2025-11,U03,A05,0,0,1,0,0,26.7
2025-11,U03,A06,1,0,1,0,1,27.1
2025-11,U04,A03,2,1,1,0,0,38.9
2025-11,U04,A04,0,0,1,0,2,32.7
2025-11,U04,A05,0,0,0,0,0,22.7
2025-11,U04,A06,0,0,0,0,0,26.6
2025-11,U05,A05,0,0,0,0,0,26.2
2025-11,U05,A06,1,0,1,0,0,23.6
2025-12,U01,A01,6,3,2,1,7,39.0
2025-12,U01,A03,2,1,1,0,1,35.2
2025-12,U01,A04,2,1,1,0,5,38.7
2025-12,U01,A05,0,0,0,0,0,25.5
2025-12,U01,A06,0,0,1,0,0,23.9
2025-12,U02,A02,5,2,2,0,3,32.1
2025-12,U02,A03,1,1,1,0,4,37.0
2025-12,U02,A04,1,1,1,0,2,32.3
2025-12,U02,A05,0,0,0,0,0,25.9
2025-12,U02,A06,0,0,0,0,0,26.4
2025-12,U03,A02,6,6,2,1,1,31.9
2025-12,U03,A03,2,2,1,0,3,36.7
2025-12,U03,A04,3,2,1,0,6,38.4
2025-12,U03,A05,0,0,1,0,1,28.0
2025-12,U03,A06,1,0,1,0,0,22.4
2025-12,U04,A03,1,1,1,0,7,32.3
2025-12,U04,A04,0,0,1,0,1,37.6
2025-12,U04,A05,0,0,0,0,0,26.2
2025-12,U04,A06,0,0,0,0,0,26.9
2025-12,U05,A05,0,0,0,0,0,24.5
2025-12,U05,A06,1,0,1,0,0,28.2
2026-01,U01,A01,7,4,2,1,9,38.6
2026-01,U01,A03,2,1,1,0,2,36.4
2026-01,U01,A04,3,1,1,0,5,37.6
2026-01,U01,A05,0,0,0,0,0,26.3
2026-01,U01,A06,0,0,1,0,1,24.3
2026-01,U02,A02,4,2,2,0,0,35.7
2026-01,U02,A03,1,0,1,0,0,39.0
2026-01,U02,A04,1,0,1,0,3,32.1
2026-01,U02,A05,0,0,0,0,0,26.7
2026-01,U02,A06,0,0,0,0,0,25.5
2026-01,U03,A02,5,4,2,1,9,37.6
2026-01,U03,A03,4,2,1,0,0,31.4
2026-01,U03,A04,3,1,2,0,0,32.1
2026-01,U03,A05,1,0,1,0,1,26.3
2026-01,U03,A06,1,0,1,0,0,24.4
2026-01,U04,A03,2,1,1,0,4,38.5
2026-01,U04,A04,1,0,1,0,1,34.6
2026-01,U04,A05,0,0,0,0,0,25.9
2026-01,U04,A06,0,0,0,0,0,26.7
2026-01,U05,A05,0,0,0,0,0,23.4
2026-01,U05,A06,0,0,1,0,0,23.4
2026-02,U01,A01,5,2,2,0,14,36.7
2026-02,U01,A03,2,1,1,0,2,36.6
2026-02,U01,A04,2,1,1,0,5,37.7
2026-02,U01,A05,0,0,0,0,0,24.4
2026-02,U01,A06,1,0,1,0,1,28.5
2026-02,U02,A02,3,2,1,0,5,36.3
2026-02,U02,A03,0,0,1,0,1,35.6
2026-02,U02,A04,1,0,1,0,3,35.9
2026-02,U02,A05,0,0,0,0,0,23.1
2026-02,U02,A06,0,0,0,0,0,26.2
2026-02,U03,A02,7,4,2,1,0,39.3
2026-02,U03,A03,3,2,1,0,2,39.1
2026-02,U03,A04,3,2,1,0,5,36.1
2026-02,U03,A05,0,0,1,0,1,28.5
2026-02,U03,A06,0,0,1,0,1,23.2
2026-02,U04,A03,1,1,1,0,7,39.5
2026-02,U04,A04,0,0,1,0,2,32.5
2026-02,U04,A05,0,0,0,0,0,25.8
2026-02,U04,A06,0,0,0,0,0,27.0
2026-02,U05,A05,0,0,0,0,0,24.9
2026-02,U05,A06,1,0,1,0,2,22.6
2026-03,U01,A01,6,3,2,1,8,32.6
2026-03,U01,A03,2,1,1,0,4,33.6
2026-03,U01,A04,2,1,1,0,1,34.3
2026-03,U01,A05,0,0,0,0,0,26.8
2026-03,U01,A06,0,0,1,0,0,22.9
2026-03,U02,A02,2,1,2,0,4,32.1
2026-03,U02,A03,1,0,1,0,0,33.9
2026-03,U02,A04,1,0,1,0,6,38.3
2026-03,U02,A05,0,0,0,0,0,23.8
2026-03,U02,A06,0,0,0,0,0,26.4
2026-03,U03,A02,7,4,3,1,13,34.5
2026-03,U03,A03,2,1,1,0,0,34.9
2026-03,U03,A04,4,2,1,0,4,35.3
2026-03,U03,A05,0,0,1,0,1,23.4
2026-03,U03,A06,1,0,1,0,0,24.7
2026-03,U04,A03,2,1,1,0,5,39.8
2026-03,U04,A04,1,0,1,0,2,37.3
2026-03,U04,A05,0,0,0,0,0,26.1
2026-03,U04,A06,0,0,0,0,0,23.1
2026-03,U05,A05,0,0,0,0,0,26.0
2026-03,U05,A06,1,0,1,0,2,28.6
2026-04,U01,A01,5,3,3,0,14,33.5
2026-04,U01,A03,2,1,1,0,2,36.4
2026-04,U01,A04,2,2,1,0,5,32.3
2026-04,U01,A05,0,0,0,0,0,26.3
2026-04,U01,A06,1,0,1,0,1,23.5
2026-04,U02,A02,2,2,1,0,10,32.4
2026-04,U02,A03,2,1,1,0,0,35.9
2026-04,U02,A04,1,0,1,0,5,33.0
2026-04,U02,A05,0,0,0,0,0,24.6
2026-04,U02,A06,0,0,0,0,0,26.1
2026-04,U03,A02,5,3,2,1,14,35.8
2026-04,U03,A03,3,2,1,0,5,39.8
2026-04,U03,A04,2,2,1,0,1,33.0
2026-04,U03,A05,0,0,0,0,0,26.3
2026-04,U03,A06,1,0,1,0,2,27.5
2026-04,U04,A03,2,1,1,0,4,34.6
2026-04,U04,A04,1,0,1,0,3,38.7
2026-04,U04,A05,0,0,0,0,0,26.5
2026-04,U04,A06,0,0,0,0,0,28.1
2026-04,U05,A05,0,0,0,0,0,24.9
2026-04,U05,A06,0,0,1,0,1,28.0
2026-05,U01,A01,5,3,2,1,5,34.5
2026-05,U01,A03,2,1,1,0,3,32.9
2026-05,U01,A04,3,1,2,0,2,38.3
2026-05,U01,A05,0,0,0,0,0,23.8
2026-05,U01,A06,1,0,1,0,0,26.0
2026-05,U02,A02,2,1,2,0,0,38.0
2026-05,U02,A03,1,0,1,0,2,40.3
2026-05,U02,A04,0,0,1,0,0,35.2
2026-05,U02,A05,0,0,0,0,0,26.4
2026-05,U02,A06,0,0,0,0,0,26.7
2026-05,U03,A02,7,4,3,1,11,36.5
2026-05,U03,A03,2,2,1,0,6,39.3
2026-05,U03,A04,2,2,1,0,6,37.5
2026-05,U03,A05,0,0,0,0,0,29.0
2026-05,U03,A06,1,0,1,0,1,28.8
2026-05,U04,A03,2,1,1,0,3,32.1
2026-05,U04,A04,1,0,1,0,0,34.4
2026-05,U04,A05,0,0,0,0,0,24.4
2026-05,U04,A06,0,0,0,0,0,24.7
2026-05,U05,A05,0,0,0,0,0,27.3
2026-05,U05,A06,1,0,1,0,0,24.9
2026-06,U01,A01,7,4,3,1,6,32.9
2026-06,U01,A03,2,1,1,0,2,32.7
2026-06,U01,A04,3,2,1,0,3,32.7
2026-06,U01,A05,1,0,1,0,1,24.5
2026-06,U01,A06,1,0,1,0,0,25.2
2026-06,U02,A02,4,3,1,0,2,38.7
2026-06,U02,A03,1,0,1,0,1,34.3
2026-06,U02,A04,2,1,1,0,2,34.5
2026-06,U02,A05,0,0,0,0,0,24.3
2026-06,U02,A06,0,0,0,0,1,25.6
2026-06,U03,A02,7,6,2,1,9,38.4
2026-06,U03,A03,4,3,1,0,6,34.5
2026-06,U03,A04,3,2,1,0,4,37.3
2026-06,U03,A05,0,0,1,0,1,23.8
2026-06,U03,A06,0,0,1,0,1,25.7
2026-06,U04,A03,4,2,1,0,5,38.7
2026-06,U04,A04,0,0,1,0,2,38.7
2026-06,U04,A05,0,0,0,0,0,27.1
2026-06,U04,A06,0,0,0,0,0,25.6
2026-06,U05,A05,0,0,0,0,0,24.7
2026-06,U05,A06,1,0,1,0,1,24.2
2026-07,U01,A01,6,4,2,1,4,36.0
2026-07,U01,A03,2,1,1,0,1,36.2
2026-07,U01,A04,3,2,2,0,5,37.4
2026-07,U01,A05,1,0,1,0,0,29.0
2026-07,U01,A06,1,0,1,0,0,27.8
2026-07,U02,A02,4,2,2,0,2,32.5
2026-07,U02,A03,2,1,1,0,0,36.0
2026-07,U02,A04,1,1,1,0,1,35.3
2026-07,U02,A05,0,0,0,0,0,29.0
2026-07,U02,A06,0,0,0,0,0,28.7
2026-07,U03,A02,7,4,3,1,3,37.8
2026-07,U03,A03,2,2,1,0,2,38.3
2026-07,U03,A04,2,2,1,0,1,38.8
2026-07,U03,A05,1,0,1,0,0,28.3
2026-07,U03,A06,0,0,1,0,1,28.2
2026-07,U04,A03,3,1,2,0,0,40.6
2026-07,U04,A04,1,0,1,0,0,33.1
2026-07,U04,A05,0,0,0,0,0,23.7
2026-07,U04,A06,0,0,0,0,0,27.0
2026-07,U05,A05,0,0,0,0,0,27.7
2026-07,U05,A06,0,0,1,0,0,27.3
