periodo,unidad_id,sindicato,trabajadores_sindicalizados,emplazamientos,conflictos_abiertos,conflictos_cerrados,dias_a_revision_cct,riesgo_sindical,enps,participacion_clima
2026-03,U05,No sindicalizado,0,0,1,0,0,1,38.9,0.766
2026-04,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,697,0,6,4,90,4,19.4,0.713
2026-04,U02,Sindicato Minero Independiente Durango,582,0,5,3,305,2,33.8,0.717
2026-04,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,817,0,4,1,35,3,27.2,0.756
2026-04,U04,Sindicato de Trabajadores de la Industria Metalúrgica,388,1,3,1,235,2,34.0,0.739
2026-04,U05,No sindicalizado,0,0,2,1,0,1,39.0,0.74
2026-05,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,726,0,5,4,60,4,18.8,0.697
2026-05,U02,Sindicato Minero Independiente Durango,644,1,3,1,275,2,30.8,0.757
2026-05,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,685,0,5,3,5,3,25.4,0.677
2026-05,U04,Sindicato de Trabajadores de la Industria Metalúrgica,372,0,4,2,205,2,35.1,0.672
2026-05,U05,No sindicalizado,0,0,1,0,0,1,41.4,0.656
2026-06,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,678,0,7,2,30,4,19.6,0.725
2026-06,U02,Sindicato Minero Independiente Durango,565,0,3,2,245,2,33.0,0.761
2026-06,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,700,0,4,3,340,3,26.2,0.694
2026-06,U04,Sindicato de Trabajadores de la Industria Metalúrgica,372,0,4,2,175,2,30.4,0.653
2026-06,U05,No sindicalizado,0,0,2,0,0,1,42.1,0.671
2026-07,U01,Sindicato Nacional Minero Metalúrgico - Sec. 12,601,0,10,4,365,4,18.2,0.755
2026-07,U02,Sindicato Minero Independiente Durango,691,1,4,2,215,2,30.1,0.766
2026-07,U03,Sindicato Nacional Minero Metalúrgico - Sec. 41,803,0,5,3,310,3,27.4,0.777
2026-07,U04,Sindicato de Trabajadores de la Industria Metalúrgica,387,0,3,1,145,2,33.8,0.67
2026-07,U05,No sindicalizado,0,0,1,0,0,1,38.3,0.786
